FROM_JFK,TO JFK,SCHEDULED_DEPARTURE_TIME,FEDERAL_HOLIDAY,STATE_HOLIDAY,WEEKEND,LONG_WEEKEND,WIND_DIRECTION,WIND SPEED ,ALTIMETER,0.0slp,t0.0pc,VISIBILITY,DEPARTURE_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,SCHEDULED_TIME,ELAPSED_TIME,DEPARTURE_DELAY,ARRIVAL_DELAY,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
0,1,0.08,1,0,0,0,250,12,30.16,1021.4,-1.7,10,0.08,0.2,0.21,235,248,0,1,0,0,0,0,0
0,1,0.23,1,0,0,0,270,12,30.16,1021.1,-1.7,10,0.23,0.29,0.28,88,78,0,0,0,0,0,0,0
1,0,0.23,1,0,0,0,270,12,30.16,1021.1,-1.7,10,0.26,0.43,0.44,225,201,1,1,0,0,1,0,0
1,0,0.24,1,0,0,0,270,12,30.16,1021.1,-1.7,10,0.28,0.37,0.42,185,199,1,1,1,0,1,0,0
0,1,0.25,1,0,0,0,260,14,30.18,1021.9,-2.2,10,0.25,0.36,0.36,154,164,0,1,0,0,0,0,0
0,1,0.25,1,0,0,0,260,14,30.18,1021.9,-2.2,10,0.25,0.37,0.38,232,246,1,1,1,0,1,0,0
0,1,0.25,1,0,0,0,260,14,30.18,1021.9,-2.2,10,0.25,0.34,0.34,128,136,0,1,0,0,0,0,0
1,0,0.25,1,0,0,0,260,14,30.18,1021.9,-2.2,10,0.25,0.36,0.35,163,139,1,0,0,0,0,0,0
0,1,0.25,1,0,0,0,260,14,30.18,1021.9,-2.2,10,0.26,0.36,0.38,163,170,1,1,1,0,1,0,0
0,1,0.25,1,0,0,0,260,14,30.18,1021.9,-2.2,10,0.27,0.38,0.42,242,274,1,1,1,0,1,0,0
0,1,0.25,1,0,0,0,260,14,30.18,1021.9,-2.2,10,0.25,0.32,0.32,95,103,0,1,0,0,0,0,0
0,1,0.25,1,0,0,0,260,14,30.18,1021.9,-2.2,10,0.25,0.35,0.36,146,161,0,1,0,0,0,0,0
0,1,0.26,1,0,0,0,260,14,30.18,1021.9,-2.2,10,0.26,0.6,0.59,314,293,1,0,0,0,0,0,0
0,1,0.26,1,0,0,0,260,14,30.18,1021.9,-2.2,10,0.37,0.3,0.42,63,60,1,1,0,1,1,0,0
1,0,0.27,1,0,0,0,260,14,30.18,1021.9,-2.2,10,0.27,0.43,0.43,348,355,0,1,0,0,0,0,0
