Wind Speed Knots,gust,skyl1,skyl2,skyl3,skyl4,peak_wind_gust,Turbulence
13,M,6000,M,M,M,M,0
11,M,6000,M,M,M,M,0
13,M,M,M,M,M,M,0
16,M,M,M,M,M,M,0
13,M,M,M,M,M,M,0
11,M,M,M,M,M,M,0
12,M,25000,M,M,M,M,0
12,M,14000,M,M,M,M,0
15,M,M,M,M,M,M,0
12,20,M,M,M,M,M,1
14,18,M,M,M,M,M,1
12,20,5000,M,M,M,M,1
12,M,4600,M,M,M,M,0
10,M,5000,25000,M,M,M,0
15,M,5500,25000,M,M,M,0
12,20,5500,25000,M,M,M,1
23,27,25000,M,M,M,27,1
20,26,25000,M,M,M,26,1
15,M,25000,M,M,M,M,0
17,25,25000,M,M,M,26,1
17,22,25000,M,M,M,28,1
20,26,8000,25000,M,M,26,1
19,25,25000,M,M,M,26,1
16,M,25000,M,M,M,28,0
19,M,25000,M,M,M,M,0
18,25,25000,M,M,M,26,1
18,24,25000,M,M,M,28,1
14,M,25000,M,M,M,26,0
9,M,25000,M,M,M,M,0
11,M,10000,25000,M,M,M,0
11,M,25000,M,M,M,M,0
11,M,25000,M,M,M,M,0
12,M,25000,M,M,M,M,0
12,M,25000,M,M,M,M,0
13,M,25000,M,M,M,M,0
12,M,6500,14000,25000,M,M,0
11,M,5500,14000,25000,M,M,0
15,M,5500,14000,25000,M,M,0
18,M,6500,25000,M,M,M,0
17,24,4700,6500,14000,25000,26,1
16,24,5000,25000,M,M,M,1
16,22,5500,25000,M,M,26,1
12,21,5500,25000,M,M,M,1
15,M,5500,25000,M,M,M,0
16,M,5500,25000,M,M,M,0
9,M,5500,25000,M,M,M,0
10,M,5500,25000,M,M,M,0
9,M,25000,M,M,M,M,0
10,M,25000,M,M,M,M,0
7,M,25000,M,M,M,M,0
6,M,25000,M,M,M,M,0
8,M,25000,M,M,M,M,0
8,M,25000,M,M,M,M,0
7,M,25000,M,M,M,M,0
3,M,24000,M,M,M,M,0
0,M,25000,M,M,M,M,0
0,M,20000,M,M,M,M,0
